"URDUABLC.Code.or.Value","URDUABLC.Value.Description","URDUABLC.Count","URDUABLC.Cumulative","URDUABLC.Skip.to.Item"
"0","At or above the detection limit",1731,1731,NA
"1","Below lower detection limit",1139,2870,NA
".","Missing",71,2941,NA
