"BPXSY4.Code.or.Value","BPXSY4.Value.Description","BPXSY4.Count","BPXSY4.Cumulative","BPXSY4.Skip.to.Item"
"80 to 212","Range of Values",515,515,NA
".","Missing",9298,9813,NA
