"AUQ144.Code.or.Value","AUQ144.Value.Description","AUQ144.Count","AUQ144.Cumulative","AUQ144.Skip.to.Item"
"1","Less than a year ago",829,829,NA
"2","1 year to 4 years ago",932,1761,NA
"3","5 to 9 years ago",366,2127,NA
"4","Ten or more years ago",316,2443,NA
"5","Never",794,3237,NA
"7","Refused",3,3240,NA
"9","Don't know",113,3353,NA
".","Missing",5544,8897,NA
