"DRD370S.Code.or.Value","DRD370S.Value.Description","DRD370S.Count","DRD370S.Cumulative","DRD370S.Skip.to.Item"
"1","Yes",33,33,""
"2","No",5047,5080,"DRD370T"
".","Missing",4202,9282,""
