"OPDSIRP.Code.or.Value","OPDSIRP.Value.Description","OPDSIRP.Count","OPDSIRP.Cumulative","OPDSIRP.Skip.to.Item"
"0","No",2940,2940,NA
"1","Yes",113,3053,NA
".","Missing",810,3863,NA
