"OHD27LAS.Code.or.Value","OHD27LAS.Value.Description","OHD27LAS.Count","OHD27LAS.Cumulative","OHD27LAS.Skip.to.Item"
"0 to 9","Range of Values",2717,2717,NA
"99","Calculation cannot be determined",92,2809,NA
".","Missing",4321,7130,NA
