"RFXC016.Code.or.Value","RFXC016.Value.Description","RFXC016.Count","RFXC016.Cumulative","RFXC016.Skip.to.Item"
"-6.164 to 3.815","Range of Values",51072,51072,NA
".","Missing",4,51076,NA
