"BMXSAD2.Code.or.Value","BMXSAD2.Value.Description","BMXSAD2.Count","BMXSAD2.Cumulative","BMXSAD2.Skip.to.Item"
"9.7 to 40.9","Range of Values",6983,6983,NA
".","Missing",2561,9544,NA
