"DXXPT52X.Code.or.Value","DXXPT52X.Value.Description","DXXPT52X.Count","DXXPT52X.Cumulative","DXXPT52X.Skip.to.Item"
"724.5 to 1261.4","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
