"SSNUCSIG.Code.or.Value","SSNUCSIG.Value.Description","SSNUCSIG.Count","SSNUCSIG.Cumulative","SSNUCSIG.Skip.to.Item"
"0 to 4","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
