"AUXTCOMR.Code.or.Value","AUXTCOMR.Value.Description","AUXTCOMR.Count","AUXTCOMR.Cumulative","AUXTCOMR.Skip.to.Item"
"0 to 4.5","Range of Values",1774,1774,NA
"777","Refused",0,1774,NA
"888","Could not obtain",10,1784,NA
".","Missing",105,1889,NA
