"BIXC007K.Code.or.Value","BIXC007K.Value.Description","BIXC007K.Count","BIXC007K.Cumulative","BIXC007K.Skip.to.Item"
"15.23 to 217.65","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
