"LBXBR66L.Code.or.Value","LBXBR66L.Value.Description","LBXBR66L.Count","LBXBR66L.Cumulative","LBXBR66L.Skip.to.Item"
"0.1 to 17.4","Range of Values",1999,1999,NA
".","Missing",338,2337,NA
