"DSD128MM.Code.or.Value","DSD128MM.Value.Description","DSD128MM.Count","DSD128MM.Cumulative","DSD128MM.Skip.to.Item"
"47","HEADACHES AND DIZZINESS",9,9,NA
".","Missing",9108,9117,NA
