"AUDTYL62.Code.or.Value","AUDTYL62.Value.Description","AUDTYL62.Count","AUDTYL62.Cumulative","AUDTYL62.Skip.to.Item"
"0 to 1.5","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
