"LBXHDT.Code.or.Value","LBXHDT.Value.Description","LBXHDT.Count","LBXHDT.Cumulative","LBXHDT.Skip.to.Item"
"0.757 to 33.1","Range of Values",4482,4482,NA
".","Missing",941,5423,NA
