"DS2ICHL.Code.or.Value","DS2ICHL.Value.Description","DS2ICHL.Count","DS2ICHL.Cumulative","DS2ICHL.Skip.to.Item"
"0.005 to 335","Range of Values",528,528,NA
".","Missing",4998,5526,NA
