"PSQ210.Code.or.Value","PSQ210.Value.Description","PSQ210.Count","PSQ210.Cumulative","PSQ210.Skip.to.Item"
"1","True",13,13,NA
"2","False",7,20,NA
"7","Refused",0,20,NA
"9","Don't know",4,24,NA
".","Missing",28,52,NA
