"SMD415.Code.or.Value","SMD415.Value.Description","SMD415.Count","SMD415.Cumulative","SMD415.Skip.to.Item"
"1 to 2","Range of Values",1921,1921,NA
"3","3 or More",147,2068,NA
".","Missing",7897,9965,NA
