"LBDHDD.Code.or.Value","LBDHDD.Value.Description","LBDHDD.Count","LBDHDD.Cumulative","LBDHDD.Skip.to.Item"
"11 to 179","Range of Values",7846,7846,NA
".","Missing",745,8591,NA
