"BIXS020K.Code.or.Value","BIXS020K.Value.Description","BIXS020K.Count","BIXS020K.Cumulative","BIXS020K.Skip.to.Item"
"228.71 to 1039.51","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
