"DR2TCOPP.Code.or.Value","DR2TCOPP.Value.Description","DR2TCOPP.Count","DR2TCOPP.Cumulative","DR2TCOPP.Skip.to.Item"
"0.02 to 14.045","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
