"HCQ170.Code.or.Value","HCQ170.Value.Description","HCQ170.Count","HCQ170.Cumulative","HCQ170.Skip.to.Item"
"1","True",25,25,NA
"2","False",2,27,NA
"7","Refused",0,27,NA
"9","Don't know",5,32,NA
".","Missing",84,116,NA
