"LBXD04.Code.or.Value","LBXD04.Value.Description","LBXD04.Count","LBXD04.Cumulative","LBXD04.Skip.to.Item"
"8.06 to 209.5","Range of Values",1869,1869,NA
".","Missing",416,2285,NA
