"HUQ071.Code.or.Value","HUQ071.Value.Description","HUQ071.Count","HUQ071.Cumulative","HUQ071.Skip.to.Item"
"1","Yes",949,949,""
"2","No",8805,9754,"HUQ085"
"7","Refused",1,9755,"HUQ085"
"9","Don't know",1,9756,"HUQ085"
".","Missing",0,9756,""
