"DS1IVD.Code.or.Value","DS1IVD.Value.Description","DS1IVD.Count","DS1IVD.Cumulative","DS1IVD.Skip.to.Item"
"0.01 to 2500","Range of Values",2282,2282,NA
".","Missing",3676,5958,NA
