"DRD350EQ.Code.or.Value","DRD350EQ.Value.Description","DRD350EQ.Count","DRD350EQ.Cumulative","DRD350EQ.Skip.to.Item"
"1 to 8","Range of Values",149,149,NA
".","Missing",9801,9950,NA
