"RDD040.Code.or.Value","RDD040.Value.Description","RDD040.Count","RDD040.Cumulative","RDD040.Skip.to.Item"
"1 to 69","Range of Values",508,508,NA
"70","70 or more",7,515,NA
"77777","Refused",0,515,NA
"99999","Don't know",6,521,NA
".","Missing",9124,9645,NA
