"LBXLCC.Code.or.Value","LBXLCC.Value.Description","LBXLCC.Count","LBXLCC.Cumulative","LBXLCC.Skip.to.Item"
"0.76 to 175.62","Range of Values",7266,7266,NA
"0.21","Fill Value of Limit of Detection",2,7268,NA
".","Missing",714,7982,NA
