"BMXSAD2.Code.or.Value","BMXSAD2.Value.Description","BMXSAD2.Count","BMXSAD2.Cumulative","BMXSAD2.Skip.to.Item"
"9.9 to 40.8","Range of Values",6795,6795,NA
".","Missing",2543,9338,NA
