"INQ244.Code.or.Value","INQ244.Value.Description","INQ244.Count","INQ244.Cumulative","INQ244.Skip.to.Item"
"1","Yes",449,449,"End of Section"
"2","No",4803,5252,""
"7","Refused",107,5359,"End of Section"
"9","Don't know",141,5500,"End of Section"
".","Missing",4256,9756,""
