"DXDLATOT.Code.or.Value","DXDLATOT.Value.Description","DXDLATOT.Count","DXDLATOT.Cumulative","DXDLATOT.Skip.to.Item"
"829.2 to 12134.5","Range of Values",5347,5347,NA
".","Missing",686,6033,NA
