"PAXTMD.Code.or.Value","PAXTMD.Value.Description","PAXTMD.Count","PAXTMD.Cumulative","PAXTMD.Skip.to.Item"
"4 to 1440","Range of Values",61168,61168,NA
".","Missing",0,61168,NA
