"AUXR1K2R.Code.or.Value","AUXR1K2R.Value.Description","AUXR1K2R.Count","AUXR1K2R.Cumulative","AUXR1K2R.Skip.to.Item"
"5 to 90","Range of Values",7,7,NA
"666","No response",0,7,NA
"888","Could not obtain",0,7,NA
".","Missing",3027,3034,NA
