"DR1_300.Code.or.Value","DR1_300.Value.Description","DR1_300.Count","DR1_300.Cumulative","DR1_300.Skip.to.Item"
"1","Much more than usual",724,724,NA
"2","Usual",6264,6988,NA
"3","Much less than usual",1565,8553,NA
"7","Refused",3,8556,NA
"9","Don't know",62,8618,NA
".","Missing",720,9338,NA
