"AADBDSP.Code.or.Value","AADBDSP.Value.Description","AADBDSP.Count","AADBDSP.Cumulative","AADBDSP.Skip.to.Item"
"368 to 1452","Range of Values",6935,6935,NA
".","Missing",2505,9440,NA
