"LBXF07.Code.or.Value","LBXF07.Value.Description","LBXF07.Count","LBXF07.Cumulative","LBXF07.Skip.to.Item"
"5.66 to 96.7","Range of Values",1230,1230,NA
".","Missing",1317,2547,NA
