"DR1TVB6.Code.or.Value","DR1TVB6.Value.Description","DR1TVB6.Count","DR1TVB6.Cumulative","DR1TVB6.Skip.to.Item"
"0 to 17.626","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
