"VTD271B.Code.or.Value","VTD271B.Value.Description","VTD271B.Count","VTD271B.Cumulative","VTD271B.Skip.to.Item"
"1 to 48","Range of Values",1662,1662,NA
"77","Refused",0,1662,NA
"99","Don't know",1,1663,NA
".","Missing",1731,3394,NA
