"CBD710.Code.or.Value","CBD710.Value.Description","CBD710.Count","CBD710.Cumulative","CBD710.Skip.to.Item"
"1","Always",346,346,NA
"2","Most of the time",402,748,NA
"3","Sometimes",726,1474,NA
"4","Rarely",342,1816,NA
"5","Never",168,1984,NA
"6","Never buy these items",28,2012,NA
"7","Refused",0,2012,NA
"9","Don't know",1,2013,NA
".","Missing",856,2869,NA
