"DR2TVB2.Code.or.Value","DR2TVB2.Value.Description","DR2TVB2.Count","DR2TVB2.Cumulative","DR2TVB2.Skip.to.Item"
"0 to 18.822","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
