"LBDLCCSI.Code.or.Value","LBDLCCSI.Value.Description","LBDLCCSI.Count","LBDLCCSI.Cumulative","LBDLCCSI.Skip.to.Item"
"0.0142 to 3.2718","Range of Values",7266,7266,NA
"0.0039","Fill Value of Limit of Detection",2,7268,NA
".","Missing",714,7982,NA
