"PEASCTM1.Code.or.Value","PEASCTM1.Value.Description","PEASCTM1.Count","PEASCTM1.Cumulative","PEASCTM1.Skip.to.Item"
"3 to 1521","Range of Values",9369,9369,NA
".","Missing",393,9762,NA
