"URXMHH.Code.or.Value","URXMHH.Value.Description","URXMHH.Count","URXMHH.Cumulative","URXMHH.Skip.to.Item"
"0.14 to 1186.6","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
