"DRD370TQ.Code.or.Value","DRD370TQ.Value.Description","DRD370TQ.Count","DRD370TQ.Cumulative","DRD370TQ.Skip.to.Item"
"1 to 11","Range of Values",268,268,NA
".","Missing",10209,10477,NA
