"SSKLOTH.Code.or.Value","SSKLOTH.Value.Description","SSKLOTH.Count","SSKLOTH.Cumulative","SSKLOTH.Skip.to.Item"
"152.5 to 3829.7","Range of Values",2897,2897,NA
".","Missing",0,2897,NA
