"DR2TVB2.Code.or.Value","DR2TVB2.Value.Description","DR2TVB2.Count","DR2TVB2.Cumulative","DR2TVB2.Skip.to.Item"
"0 to 22.56","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
