"DRD370AQ.Code.or.Value","DRD370AQ.Value.Description","DRD370AQ.Count","DRD370AQ.Cumulative","DRD370AQ.Skip.to.Item"
"1 to 25","Range of Values",492,492,NA
".","Missing",9985,10477,NA
