"CVDEXLEN.Code.or.Value","CVDEXLEN.Value.Description","CVDEXLEN.Count","CVDEXLEN.Cumulative","CVDEXLEN.Skip.to.Item"
"0 to 36.73","Range of Values",5152,5152,NA
".","Missing",0,5152,NA
