"DSQTNIAC.Code.or.Value","DSQTNIAC.Value.Description","DSQTNIAC.Count","DSQTNIAC.Cumulative","DSQTNIAC.Skip.to.Item"
"0.067 to 1563.333","Range of Values",1878,1878,NA
".","Missing",8093,9971,NA
