"URXMZP.Code.or.Value","URXMZP.Value.Description","URXMZP.Count","URXMZP.Cumulative","URXMZP.Skip.to.Item"
"0.21 to 1525.1","Range of Values",2975,2975,NA
".","Missing",230,3205,NA
