"WBXF093.Code.or.Value","WBXF093.Value.Description","WBXF093.Count","WBXF093.Cumulative","WBXF093.Skip.to.Item"
"5339.3594 to 5339.3594","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
