"DMDHRMAR.Code.or.Value","DMDHRMAR.Value.Description","DMDHRMAR.Count","DMDHRMAR.Cumulative","DMDHRMAR.Skip.to.Item"
"1","Married",5843,5843,NA
"2","Widowed",532,6375,NA
"3","Divorced",1087,7462,NA
"4","Separated",396,7858,NA
"5","Never married",1340,9198,NA
"6","Living with partner",801,9999,NA
"77","Refused",46,10045,NA
"99","Don't Know",7,10052,NA
".","Missing",123,10175,NA
