"DS2DS.Code.or.Value","DS2DS.Value.Description","DS2DS.Count","DS2DS.Cumulative","DS2DS.Skip.to.Item"
"1","Yes",2771,2771,NA
"2","No",5618,8389,NA
"7","Refused",0,8389,NA
"9","Don't know",0,8389,NA
".","Missing",1864,10253,NA
