"CIQG32.Code.or.Value","CIQG32.Value.Description","CIQG32.Count","CIQG32.Cumulative","CIQG32.Skip.to.Item"
"0 to 28","Range of Values",25,25,NA
"77","Refused",0,25,NA
"99","Don't know",1,26,NA
".","Missing",752,778,NA
