"LBDSIRSI.Code.or.Value","LBDSIRSI.Value.Description","LBDSIRSI.Count","LBDSIRSI.Cumulative","LBDSIRSI.Skip.to.Item"
"0.9 to 99.8","Range of Values",6527,6527,NA
".","Missing",452,6979,NA
