"DR1IP225.Code.or.Value","DR1IP225.Value.Description","DR1IP225.Count","DR1IP225.Cumulative","DR1IP225.Skip.to.Item"
"0 to 1.051","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
