"WHD110.Code.or.Value","WHD110.Value.Description","WHD110.Count","WHD110.Cumulative","WHD110.Skip.to.Item"
"50 to 550","Range of Values",3525,3525,NA
"7777","Refused",0,3525,NA
"9999","Don't know",40,3565,NA
".","Missing",2648,6213,NA
