"DXDRATOT.Code.or.Value","DXDRATOT.Value.Description","DXDRATOT.Count","DXDRATOT.Cumulative","DXDRATOT.Skip.to.Item"
"914.4 to 12134.5","Range of Values",5347,5347,NA
".","Missing",686,6033,NA
