"DSQICOPP.Code.or.Value","DSQICOPP.Value.Description","DSQICOPP.Count","DSQICOPP.Cumulative","DSQICOPP.Skip.to.Item"
"0.025 to 8","Range of Values",1447,1447,NA
".","Missing",8112,9559,NA
