"URXHLS.Code.or.Value","URXHLS.Value.Description","URXHLS.Count","URXHLS.Cumulative","URXHLS.Skip.to.Item"
"0.049 to 0.049","Range of Values",2356,2356,NA
".","Missing",256,2612,NA
