"RFXT021.Code.or.Value","RFXT021.Value.Description","RFXT021.Count","RFXT021.Cumulative","RFXT021.Skip.to.Item"
"168 to 177","Range of Values",51071,51071,NA
".","Missing",5,51076,NA
