"PFQ061D.Code.or.Value","PFQ061D.Value.Description","PFQ061D.Count","PFQ061D.Cumulative","PFQ061D.Skip.to.Item"
"1","No difficulty",1112,1112,NA
"2","Some difficulty",721,1833,NA
"3","Much difficulty",383,2216,NA
"4","Unable to do",286,2502,NA
"5","Do not do this activity",66,2568,NA
"7","Refused",0,2568,NA
"9","Don't know",0,2568,NA
".","Missing",7077,9645,NA
