"DS2IVB1.Code.or.Value","DS2IVB1.Value.Description","DS2IVB1.Count","DS2IVB1.Cumulative","DS2IVB1.Skip.to.Item"
"0.066 to 1500","Range of Values",1447,1447,NA
".","Missing",4079,5526,NA
